Accounts Receivable Tracker - Business System Package
ContractorPro Framework

COMPANY:,[Your Company Name],,,,,,,,,,
DATE PREPARED:,=TODAY(),,,,,,,,,,
,,,,,,,,,,,
INSTRUCTIONS:,,,,,,,,,,,
Track all outstanding invoices. Update payment dates as received.,,,,,,,,,,,
Yellow = 1-30 days past due,,,,,,,,,,,
Orange = 31-60 days past due,,,,,,,,,,,
Red = 60+ days past due - COLLECTION ACTION NEEDED,,,,,,,,,,,
,,,,,,,,,,,
OUTSTANDING INVOICES,,,,,,,,,,,
Invoice #,Client,Project,Invoice Date,Due Date,Amount,Amount Paid,Balance,Days Past Due,Status,Notes
1001,Example Client,Example Project,1/1/2026,1/31/2026,$5000.00,$5000.00,$0.00,0,Paid,Payment received 1/28
1002,,,MM/DD/YYYY,MM/DD/YYYY,$0.00,$0.00,$0.00,0,Current,,
1003,,,MM/DD/YYYY,MM/DD/YYYY,$0.00,$0.00,$0.00,0,Current,,
1004,,,MM/DD/YYYY,MM/DD/YYYY,$0.00,$0.00,$0.00,0,Current,,
1005,,,MM/DD/YYYY,MM/DD/YYYY,$0.00,$0.00,$0.00,0,Current,,
1006,,,MM/DD/YYYY,MM/DD/YYYY,$0.00,$0.00,$0.00,0,Current,,
1007,,,MM/DD/YYYY,MM/DD/YYYY,$0.00,$0.00,$0.00,0,Current,,
1008,,,MM/DD/YYYY,MM/DD/YYYY,$0.00,$0.00,$0.00,0,Current,,
1009,,,MM/DD/YYYY,MM/DD/YYYY,$0.00,$0.00,$0.00,0,Current,,
1010,,,MM/DD/YYYY,MM/DD/YYYY,$0.00,$0.00,$0.00,0,Current,,
,,,,,,,,,,,
SUMMARY,,,,,,,,,,,
Total Outstanding:,$0.00,,,,,,,,,,
Current (0-30 days):,$0.00,,,,,,,,,,
Past Due 31-60 days:,$0.00,,,,,,,,,,
Past Due 60+ days:,$0.00,,,,,,,,,,
,,,,,,,,,,,
AGING REPORT,,,,,,,,,,,
Client,Current,31-60 Days,61-90 Days,90+ Days,Total,Last Contact,Action Needed,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
COLLECTION FOLLOW-UP SCHEDULE,,,,,,,,,,,
Days Past Due,Action,Template Available,Completed Date,Result,,,,,,
7,Send friendly reminder,Yes,,,,,,,,
15,Phone call follow-up,N/A,,,,,,,,
30,Send past due notice,Yes,,,,,,,,
45,Second phone call + email,N/A,,,,,,,,
60,Demand letter,Yes,,,,,,,,
75,Final notice before lien,Yes,,,,,,,,
90,File mechanics lien,See Lien Forms,,,,,,,,
120,Turn over to collections,N/A,,,,,,,,
,,,,,,,,,,,
PAYMENT TERMS REFERENCE,,,,,,,,,,,
Standard Terms: Net 30,,,,,,,,,,,
Late Fee: 1.5% per month on balances over 30 days,,,,,,,,,,,
Lien Rights: Preserve by sending preliminary notice within [state deadline],,,,,,,,,,,
,,,,,,,,,,,
COLLECTION LETTER TEMPLATES INCLUDED:,,,,,,,,,,,
1. Friendly Reminder (7 days),,,,,,,,,,,
2. Past Due Notice (30 days),,,,,,,,,,,
3. Demand Letter (60 days),,,,,,,,,,,
4. Final Notice Before Lien (75 days),,,,,,,,,,,
5. Notice of Intent to Lien (90 days),,,,,,,,,,,
,,,,,,,,,,,
TIPS FOR PROMPT PAYMENT:,,,,,,,,,,,
- Send preliminary notice on every job (even if not required),,,,,,,,,,,
- Invoice promptly (within 5 days of completing work),,,,,,,,,,,
- Offer early payment discount (e.g., 2% net 10),,,,,,,,,,,
- Require partial payment upfront for new clients,,,,,,,,,,,
- Get personal guarantee from small business owners,,,,,,,,,,,
- Stop work if payment is significantly late,,,,,,,,,,,
