Change Order Log - Professional Package
ContractorPro Framework

PROJECT:,Enter Project Name,,,,,,,,,,
CLIENT:,Enter Client Name,,,,,,,,,,
,,,,,,,,,,,
INSTRUCTIONS:,,,,,,,,,,,
Log every change order request. Track status and approvals.,,,,,,,,,,,
Yellow = Pending approval,,,,,,,,,,,
Green = Approved & executed,,,,,,,,,,,
Red = Rejected,,,,,,,,,,,
,,,,,,,,,,,
CHANGE ORDER LOG,,,,,,,,,,,
CO #,Date Requested,Description,Reason,Cost Impact,Schedule Impact,Status,Date Approved,Date Executed,Notes
1,MM/DD/YYYY,Example: Additional outlet,Owner request,$150.00,0 days,Approved,MM/DD/YYYY,MM/DD/YYYY,Client signed 3/15
2,MM/DD/YYYY,,,,$0.00,0 days,Pending,,,,
3,MM/DD/YYYY,,,,$0.00,0 days,Pending,,,,
4,MM/DD/YYYY,,,,$0.00,0 days,Pending,,,,
5,MM/DD/YYYY,,,,$0.00,0 days,Pending,,,,
6,MM/DD/YYYY,,,,$0.00,0 days,Pending,,,,
7,MM/DD/YYYY,,,,$0.00,0 days,Pending,,,,
8,MM/DD/YYYY,,,,$0.00,0 days,Pending,,,,
9,MM/DD/YYYY,,,,$0.00,0 days,Pending,,,,
10,MM/DD/YYYY,,,,$0.00,0 days,Pending,,,,
,,,,,,,,,,,
SUMMARY,,,,,,,,,,,
Total Change Orders:,0,,,,,,,,,,
Total Approved:,$0.00,,,,,,,,,,
Total Pending:,$0.00,,,,,,,,,,
Total Rejected:,$0.00,,,,,,,,,,
Schedule Impact (Days):,0,,,,,,,,,,
,,,,,,,,,,,
CHANGE ORDER TEMPLATE (Copy for each CO),,,,,,,,,,,
,,,,,,,,,,,
CHANGE ORDER #:,[Number],,,,,,,,,,
DATE:,MM/DD/YYYY,,,,,,,,,,
PROJECT:,[Project Name],,,,,,,,,,
CONTRACTOR:,[Your Company],,,,,,,,,,
OWNER:,[Client Name],,,,,,,,,,
,,,,,,,,,,,
DESCRIPTION OF CHANGE:,,,,,,,,,,,
[Detailed description of the work to be added deleted or modified],,,,,,,,,,,
,,,,,,,,,,,
REASON FOR CHANGE:,,,,,,,,,,,
☐ Owner Request,,,,,,,,,,,
☐ Unforeseen Conditions,,,,,,,,,,,
☐ Design Error/Omission,,,,,,,,,,,
☐ Code Requirement,,,,,,,,,,,
☐ Other: _______________,,,,,,,,,,,
,,,,,,,,,,,
COST BREAKDOWN:,,,,,,,,,,,
Labor:,$0.00,,,,,,,,,,
Materials:,$0.00,,,,,,,,,,
Equipment:,$0.00,,,,,,,,,,
Subcontractors:,$0.00,,,,,,,,,,
Overhead & Profit (%):,$0.00,,,,,,,,,,
TOTAL CHANGE ORDER AMOUNT:,$0.00,,,,,,,,,,
,,,,,,,,,,,
SCHEDULE IMPACT:,,,,,,,,,,,
☐ No impact to completion date,,,,,,,,,,,
☐ Extends completion by _____ calendar days,,,,,,,,,,,
New Completion Date: MM/DD/YYYY,,,,,,,,,,,
,,,,,,,,,,,
APPROVALS:,,,,,,,,,,,
,,,,,,,,,,,
Contractor Signature: _________________________ Date: _______,,,,,,,,,,,
Printed Name: _________________________,,,,,,,,,,,
,,,,,,,,,,,
Owner Signature: _________________________ Date: _______,,,,,,,,,,,
Printed Name: _________________________,,,,,,,,,,,
,,,,,,,,,,,
NOTES:,,,,,,,,,,,
- No work shall proceed on changed work until Change Order is signed by both parties,,,,,,,,,,,
- This Change Order modifies the original contract dated [Date],,,,,,,,,,,
- All other terms of the original contract remain in effect,,,,,,,,,,,
