Job Costing Calculator - Essential Forms Package
ContractorPro Framework

INSTRUCTIONS:,Fill in YELLOW cells with your data. GREEN cells calculate automatically.
,,,,,,,,,,,
PROJECT INFORMATION,,,,,,,,,,,
Project Name:,Enter project name here,,,,,,,,,,
Project Location:,City/State,,,,,,,,,,
Client Name:,Client company name,,,,,,,,,,
Bid Date:,MM/DD/YYYY,,,,,,,,,,
Estimated Start:,MM/DD/YYYY,,,,,,,,,,
Estimated Duration:,Number of weeks,,,,,,,,,,
,,,,,,,,,,,
LABOR COSTS,,,,,,,,,,,
Role,Base Wage/Hr,Burden %,Total Cost/Hr,Est. Hours,Total Cost,,,,,,
Foreman/Supervisor,$35.00,40%,$49.00,0,$0.00,,,,,,
Journeyman,$28.00,40%,$39.20,0,$0.00,,,,,,
Apprentice,$18.00,40%,$25.20,0,$0.00,,,,,,
Other,$0.00,40%,$0.00,0,$0.00,,,,,,
Other,$0.00,40%,$0.00,0,$0.00,,,,,,
SUBTOTAL LABOR,,,,0,$0.00,,,,,,
,,,,,,,,,,,
MATERIAL COSTS,,,,,,,,,,,
Item,Quantity,Unit,Unit Cost,Total Cost,,,,,,,
Material 1,0,EA,$0.00,$0.00,,,,,,,
Material 2,0,EA,$0.00,$0.00,,,,,,,
Material 3,0,EA,$0.00,$0.00,,,,,,,
Material 4,0,EA,$0.00,$0.00,,,,,,,
Material 5,0,EA,$0.00,$0.00,,,,,,,
SUBTOTAL MATERIALS,,,,,$0.00,,,,,,
,,,,,,,,,,,
EQUIPMENT COSTS,,,,,,,,,,,
Equipment,Days,Rate/Day,Total Cost,,,,,,,,
Equipment Rental 1,0,$0.00,$0.00,,,,,,,,
Equipment Rental 2,0,$0.00,$0.00,,,,,,,,
Owned Equipment (estimate),0,$0.00,$0.00,,,,,,,,
SUBTOTAL EQUIPMENT,,,,,$0.00,,,,,,
,,,,,,,,,,,
SUBCONTRACTOR COSTS,,,,,,,,,,,
Trade,Scope,Estimated Cost,,,,,,,,,
Subcontractor 1,Description,$0.00,,,,,,,,,
Subcontractor 2,Description,$0.00,,,,,,,,,
Subcontractor 3,Description,$0.00,,,,,,,,,
SUBTOTAL SUBS,,,,$0.00,,,,,,,
,,,,,,,,,,,
OTHER COSTS,,,,,,,,,,,
Permits & Fees,,$0.00,,,,,,,,,
Insurance/Bond,,$0.00,,,,,,,,,
Utilities/Temp Power,,$0.00,,,,,,,,,
Cleanup/Disposal,,$0.00,,,,,,,,,
Other,,$0.00,,,,,,,,,
SUBTOTAL OTHER,,,$0.00,,,,,,,,
,,,,,,,,,,,
JOB COST SUMMARY,,,,,,,,,,,
Direct Costs,,,,,,,,,,,
Labor,,$0.00,,,,,,,,,
Materials,,$0.00,,,,,,,,,
Equipment,,$0.00,,,,,,,,,
Subcontractors,,$0.00,,,,,,,,,
Other Direct Costs,,$0.00,,,,,,,,,
TOTAL DIRECT COSTS,,$0.00,,,,,,,,,
,,,,,,,,,,,
Overhead & Profit,,,,,,,,,,,
Overhead % (office/admin),10%,$0.00,,,,,,,,,
Profit Margin %,15%,$0.00,,,,,,,,,
Contingency %,5%,$0.00,,,,,,,,,
TOTAL MARKUP,,$0.00,,,,,,,,,
,,,,,,,,,,,
TOTAL BID PRICE,,$0.00,,,,,,,,,
,,,,,,,,,,,
BREAK-EVEN ANALYSIS,,,,,,,,,,,
At this price you need:,,,,,,,,,,,
Minimum profit margin,,$0.00,,,,,,,,,
Break-even hours (labor),,0,,,,,,,,,
,,,,,,,,,,,
NOTES:,,,,,,,,,,,
- Burden % includes: payroll taxes (7.65%), workers comp, general liability, benefits,,,,,,,,,,
- Adjust burden % based on your actual costs,,,,,,,,,,,
- Always add contingency for unknowns,,,,,,,,,,,
- Review and adjust overhead % quarterly,,,,,,,,,,,
